EXP1-500,Train,,Test,,,,,,,,,,EXP1-238 Common,Train,,Test,,,,,,,,
Configuration,Obstacle,Filter,Filter,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit,,Configuration,Obstacle,Filter,Filter,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit
1,ON,OFF,OFF,10872,2796,2.500337551,0.847208648,91.41304348,86.6,3,10.6,,1,ON,OFF,OFF,11191,2303,2.476778969,0.468008217,94.4008038,91.17647059,0,8.823529412
2,OFF,OFF,ON,8596,4714,3.909029858,0.548385597,75.43043478,66.6,31.8,0.8,,2,OFF,OFF,ON,11781,1203,3.85184944,0.546364656,98.87650712,98.31932773,0,0.420168067
3,ON,OFF,ON,10370,2418,4.466594856,0.304880615,93.95978261,91.2,9,0,,3,ON,OFF,ON,11061,883,4.485705052,0.286450199,100,100,0,0
4,ON,ON,ON,8986,3573,4.154138664,0.415456251,83.60543478,75.2,24.8,0,,4,ON,ON,ON,11020,908,4.157989393,0.405637531,100,100,0,0
5,ON,ON,OFF,6796,4826,2.190043997,0.481645634,59.38804348,50.4,0.6,49,,5,ON,ON,OFF,7379,4892,2.170413708,0.481337802,63.89294848,57.56302521,0,42.43697479
6,OFF,OFF,OFF,716,989,2.652224475,0.223596456,7.986956522,0.8,0,99.2,,6,OFF,OFF,OFF,709,956,2.640048417,0.245906553,7.948940446,0.840336134,0,99.15966387
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
EXP2,Train,,Test,,,,,,,,,,EXP2-220 Common,Train,,Test,,,,,,,,
Configuration,Obstacle,Filter,Filter,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit,,Configuration,Obstacle,Filter,Filter,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit
1,ON,OFF,OFF,9169,4455,2.708328458,1.400306388,74.75326087,68.6,0.8,29.6,,1,ON,OFF,OFF,8853,4662,2.592440487,0.640199215,72.08992095,65.90909091,0,34.09090909
2,OFF,OFF,ON,8276,4453,3.958342284,0.472272172,76.14021739,65.4,33.2,0.4,,2,OFF,OFF,ON,11392,1276,3.9394026,0.503029527,98.79199605,98.63636364,0,0.454545455
3,ON,OFF,ON,10378,3055,4.475102278,0.384899093,90.07065217,86.2,13.4,0,,3,ON,OFF,ON,11473,1054,4.527569667,0.318590322,100,100,0,0
4,ON,ON,ON,8837,3885,4.161927987,0.441764961,80.48804348,72,27.6,0.4,,4,ON,ON,ON,11173,1167,4.152963614,0.436528719,99.58250988,99.54545455,0,0.454545455
5,ON,ON,OFF,5811,4752,2.394486965,0.505751466,51.50217391,42,0.4,57.6,,5,ON,ON,OFF,5610,4757,2.388343152,0.51850581,49.41699605,39.54545455,0,60.45454545
6,OFF,OFF,OFF,3214,4549,2.432266798,0.467694116,28.25434783,20.6,0,79.4,,6,OFF,OFF,OFF,3181,4618,2.46434801,0.435382809,27.26037549,20,0,80
,,,,,,,,,,,,,,,,,,,,,,,,
EXP3,Train,,Test,,,,,,,,,,EXP3,Train,,Test,,,,,,,,
Configuration,Obstacle,Filter,Filter,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit,,Configuration,Obstacle,Filter,Filter,reward_mean,reward_std,min_dst_mean,min_dst_std,track_comp_perc,track_comp_count,curb_hit,obstacle_hit
1,ON,OFF,OFF,5946,1061,3.587805915,1.314081114,95.41791045,90,5,7,,1,ON,OFF,OFF,5946,1061,3.587805915,1.314081114,95.41791045,90,5,7
2,OFF,OFF,ON,4680,2419,5.029646914,1.988163539,58.91044776,32,21,0,,2,OFF,OFF,ON,4680,2419,5.029646914,1.988163539,58.91044776,32,21,0
3,ON,OFF,ON,5702,1088,4.456026887,0.439413998,94.10447761,81,8,0,,3,ON,OFF,ON,5702,1088,4.456026887,0.439413998,94.10447761,81,8,0
4,ON,ON,ON,3256,3460,9.119805337,3.091157335,27.74626866,10,90,0,,4,ON,ON,ON,3256,3460,9.119805337,3.091157335,27.74626866,10,90,0
5,ON,ON,OFF,2663,2845,9.788021439,2.863970232,22.64179104,6,94,0,,5,ON,ON,OFF,2663,2845,9.788021439,2.863970232,22.64179104,6,94,0
6,OFF,OFF,OFF,4115,2616,4.113623043,2.579463157,53.03731343,32,10,27,,6,OFF,OFF,OFF,4115,2616,4.113623043,2.579463157,53.03731343,32,10,27
